pair,method,relation_dim,threshold_quantile,threshold,train_score_mean,known_score_mean,unknown_score_mean,known_unknown_mean_gap,known_score_p95,unknown_score_p50,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
ap:fft,relation_shrinkage_mahalanobis,33,0.95,108.2881697119745,29.762823338255494,32.68968878099183,34.964632601665826,2.2749438206739967,121.024633848775,16.612429457905726,0.51597,0.21041666666666667,0.847682119205298,0.064,0.1190144119014412,128,377,23,1872
ap:fft,relation_shrinkage_mahalanobis,33,0.97,139.80667935286218,29.762823338255494,32.68968878099183,34.964632601665826,2.2749438206739967,121.024633848775,16.612429457905726,0.51597,0.19375,0.8421052631578947,0.04,0.07637231503579953,80,385,15,1920
ap:stft,relation_zdist,33,0.9,2.004137160237371,1.0,1.0741670337067262,0.980225994894666,-0.09394103881206017,3.4682580493104873,0.6531956828050902,0.503635,0.22041666666666668,0.7866666666666666,0.0885,0.1591011235955056,177,352,48,1823
ap:stft,relation_zdist,33,0.95,2.7939325638046406,1.0,1.0741670337067262,0.980225994894666,-0.09394103881206017,3.4682580493104873,0.6531956828050902,0.503635,0.19416666666666665,0.7704918032786885,0.047,0.0885956644674835,94,372,28,1906
ap:stft,relation_zdist,33,0.97,3.7388360029562375,1.0,1.0741670337067262,0.980225994894666,-0.09394103881206017,3.4682580493104873,0.6531956828050902,0.503635,0.18041666666666667,0.7391304347826086,0.0255,0.04929917834702755,51,382,18,1949
ap:stft,relation_pca_residual,33,0.9,0.5126343577624648,0.2644844395373661,0.2962664369879389,0.2823720328039268,-0.01389440418401211,0.7342897638327869,0.18784477744050374,0.4931175,0.22916666666666666,0.8177966101694916,0.0965,0.17262969588550983,193,357,43,1807
ap:stft,relation_pca_residual,33,0.95,0.7466587471913116,0.2644844395373661,0.2962664369879389,0.2823720328039268,-0.01389440418401211,0.7342897638327869,0.18784477744050374,0.4931175,0.19875,0.8347826086956521,0.048,0.09078014184397162,96,381,19,1904
ap:stft,relation_pca_residual,33,0.97,1.0011029919847598,0.2644844395373661,0.2962664369879389,0.2823720328039268,-0.01389440418401211,0.7342897638327869,0.18784477744050374,0.4931175,0.18458333333333332,0.8028169014084507,0.0285,0.05504587155963303,57,386,14,1943
ap:stft,relation_shrinkage_mahalanobis,33,0.9,59.667573741026736,31.139524540659046,33.9271503652295,31.68190849500772,-2.2452418702217827,106.88673929087896,21.906453350061057,0.5007725,0.225,0.7991452991452992,0.0935,0.1674127126230976,187,353,47,1813
ap:stft,relation_shrinkage_mahalanobis,33,0.95,84.25862186181321,31.139524540659046,33.9271503652295,31.68190849500772,-2.2452418702217827,106.88673929087896,21.906453350061057,0.5007725,0.19708333333333333,0.8016528925619835,0.0485,0.09146628948609146,97,376,24,1903
ap:stft,relation_shrinkage_mahalanobis,33,0.97,101.76639795394249,31.139524540659046,33.9271503652295,31.68190849500772,-2.2452418702217827,106.88673929087896,21.906453350061057,0.5007725,0.18416666666666667,0.75,0.0315,0.06046065259117083,63,379,21,1937
ap:cepstral,relation_zdist,33,0.9,2.0771087939708046,0.9999999999999999,1.1919771657267153,1.0827426581855746,-0.10923450754114072,3.9852581400454015,0.5740440652292382,0.503255,0.24375,0.8032786885245902,0.1225,0.21258134490238612,245,340,60,1755
ap:cepstral,relation_zdist,33,0.95,3.045480833461244,0.9999999999999999,1.1919771657267153,1.0827426581855746,-0.10923450754114072,3.9852581400454015,0.5740440652292382,0.503255,0.21041666666666667,0.8070175438596491,0.069,0.12713035467526487,138,367,33,1862
ap:cepstral,relation_zdist,33,0.97,4.3091452646782065,0.9999999999999999,1.1919771657267153,1.0827426581855746,-0.10923450754114072,3.9852581400454015,0.5740440652292382,0.503255,0.18833333333333332,0.7954545454545454,0.035,0.06704980842911878,70,382,18,1930
ap:cepstral,relation_pca_residual,33,0.9,0.3762124154565698,0.1949988540967017,0.2272499141360897,0.2113712655810565,-0.01587864855503318,0.6552957328916266,0.11931146408117393,0.4880325,0.24291666666666667,0.8,0.122,0.21171366594360086,244,339,61,1756
ap:cepstral,relation_pca_residual,33,0.95,0.5889034159319951,0.1949988540967017,0.2272499141360897,0.2113712655810565,-0.01587864855503318,0.6552957328916266,0.11931146408117393,0.4880325,0.20666666666666667,0.8287671232876712,0.0605,0.11276794035414725,121,375,25,1879
