representation,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
ap,shrinkage_mahalanobis,Tx6,0.95,62.64650939138125,0.52085,0.45,0.543859649122807,0.062,0.11131059245960505,31,374,26,469
ap,shrinkage_mahalanobis,Tx7,0.95,62.64650939138125,0.54874,0.45444444444444443,0.5737704918032787,0.07,0.12477718360071301,35,374,26,465
ap,shrinkage_mahalanobis,Tx8,0.95,62.64650939138125,0.56697,0.45444444444444443,0.5737704918032787,0.07,0.12477718360071301,35,374,26,465
ap,shrinkage_mahalanobis,Tx5,0.97,79.62698502634333,0.491855,0.44,0.4411764705882353,0.03,0.056179775280898875,15,381,19,485
ap,shrinkage_mahalanobis,Tx6,0.97,79.62698502634333,0.52085,0.4411111111111111,0.45714285714285713,0.032,0.059813084112149535,16,381,19,484
ap,shrinkage_mahalanobis,Tx7,0.97,79.62698502634333,0.54874,0.44555555555555554,0.5128205128205128,0.04,0.07421150278293136,20,381,19,480
ap,shrinkage_mahalanobis,Tx8,0.97,79.62698502634333,0.56697,0.44555555555555554,0.5128205128205128,0.04,0.07421150278293136,20,381,19,480
fft,zdist,Tx5,0.9,2.216901354390927,0.550305,0.4588888888888889,0.5631067961165048,0.116,0.19237147595356552,58,355,45,442
fft,zdist,Tx6,0.9,2.216901354390927,0.58329,0.45555555555555555,0.55,0.11,0.18333333333333335,55,355,45,445
fft,zdist,Tx7,0.9,2.216901354390927,0.566545,0.45444444444444443,0.5454545454545454,0.108,0.18030050083472454,54,355,45,446
fft,zdist,Tx8,0.9,2.216901354390927,0.59608,0.4688888888888889,0.5982142857142857,0.134,0.2189542483660131,67,355,45,433
fft,zdist,Tx5,0.95,2.672558117286347,0.550305,0.44555555555555554,0.5106382978723404,0.048,0.08775137111517367,24,377,23,476
fft,zdist,Tx6,0.95,2.672558117286347,0.58329,0.4533333333333333,0.5740740740740741,0.062,0.11191335740072203,31,377,23,469
fft,zdist,Tx7,0.95,2.672558117286347,0.566545,0.45111111111111113,0.5576923076923077,0.058,0.10507246376811595,29,377,23,471
