representation,method,tx,threshold_quantile,threshold,known_files,false_rejects,known_accepts,false_reject_rate,score_mean,score_p95
cepstral,pca_residual,Tx3,0.9,0.1910890010842814,100,10,90,0.1,0.11306928553576398,0.21454812767357906
cepstral,pca_residual,Tx4,0.9,0.1910890010842814,100,15,85,0.15,0.13242772660286017,0.2941593224411732
cepstral,pca_residual,Tx1,0.95,0.24379822607275084,100,6,94,0.06,0.120934120324671,0.25293160008506615
cepstral,pca_residual,Tx2,0.95,0.24379822607275084,100,9,91,0.09,0.13065976178383049,0.34464877412000444
cepstral,pca_residual,Tx3,0.95,0.24379822607275084,100,4,96,0.04,0.11306928553576398,0.21454812767357906
cepstral,pca_residual,Tx4,0.95,0.24379822607275084,100,8,92,0.08,0.13242772660286017,0.2941593224411732
cepstral,pca_residual,Tx1,0.97,0.27365585082985644,100,4,96,0.04,0.120934120324671,0.25293160008506615
cepstral,pca_residual,Tx2,0.97,0.27365585082985644,100,9,91,0.09,0.13065976178383049,0.34464877412000444
cepstral,pca_residual,Tx3,0.97,0.27365585082985644,100,2,98,0.02,0.11306928553576398,0.21454812767357906
cepstral,pca_residual,Tx4,0.97,0.27365585082985644,100,7,93,0.07,0.13242772660286017,0.2941593224411732
cepstral,shrinkage_mahalanobis,Tx1,0.9,68.8987889141986,100,14,86,0.14,42.02183457287632,81.86966164922724
cepstral,shrinkage_mahalanobis,Tx2,0.9,68.8987889141986,100,15,85,0.15,44.97578290698698,104.99358526759241
cepstral,shrinkage_mahalanobis,Tx3,0.9,68.8987889141986,100,15,85,0.15,43.61237846874279,89.69389032760128
cepstral,shrinkage_mahalanobis,Tx4,0.9,68.8987889141986,100,14,86,0.14,45.832730741281324,101.91651460879716
cepstral,shrinkage_mahalanobis,Tx1,0.95,85.07843460636009,100,4,96,0.04,42.02183457287632,81.86966164922724
cepstral,shrinkage_mahalanobis,Tx2,0.95,85.07843460636009,100,10,90,0.1,44.97578290698698,104.99358526759241
cepstral,shrinkage_mahalanobis,Tx3,0.95,85.07843460636009,100,6,94,0.06,43.61237846874279,89.69389032760128
cepstral,shrinkage_mahalanobis,Tx4,0.95,85.07843460636009,100,9,91,0.09,45.832730741281324,101.91651460879716
cepstral,shrinkage_mahalanobis,Tx1,0.97,92.38959742621091,100,3,97,0.03,42.02183457287632,81.86966164922724
cepstral,shrinkage_mahalanobis,Tx2,0.97,92.38959742621091,100,7,93,0.07,44.97578290698698,104.99358526759241
cepstral,shrinkage_mahalanobis,Tx3,0.97,92.38959742621091,100,5,95,0.05,43.61237846874279,89.69389032760128
cepstral,shrinkage_mahalanobis,Tx4,0.97,92.38959742621091,100,7,93,0.07,45.832730741281324,101.91651460879716
cyclo,zdist,Tx1,0.9,2.7010646566288705,100,14,86,0.14,1.1303986351543,4.027143568285348
cyclo,zdist,Tx2,0.9,2.7010646566288705,100,12,88,0.12,1.1515385754291554,5.121791538394373
cyclo,zdist,Tx3,0.9,2.7010646566288705,100,18,82,0.18,1.5920544145404816,7.616597452725902
cyclo,zdist,Tx4,0.9,2.7010646566288705,100,9,91,0.09,0.9552470090004545,4.238330378786106
cyclo,zdist,Tx1,0.95,4.418427323918298,100,4,96,0.04,1.1303986351543,4.027143568285348
cyclo,zdist,Tx2,0.95,4.418427323918298,100,6,94,0.06,1.1515385754291554,5.121791538394373
cyclo,zdist,Tx3,0.95,4.418427323918298,100,13,87,0.13,1.5920544145404816,7.616597452725902
cyclo,zdist,Tx4,0.95,4.418427323918298,100,5,95,0.05,0.9552470090004545,4.238330378786106
cyclo,zdist,Tx1,0.97,5.388300137259517,100,3,97,0.03,1.1303986351543,4.027143568285348
cyclo,zdist,Tx2,0.97,5.388300137259517,100,3,97,0.03,1.1515385754291554,5.121791538394373
cyclo,zdist,Tx3,0.97,5.388300137259517,100,12,88,0.12,1.5920544145404816,7.616597452725902
cyclo,zdist,Tx4,0.97,5.388300137259517,100,1,99,0.01,0.9552470090004545,4.238330378786106
cyclo,pca_residual,Tx1,0.9,0.10927105774073541,100,10,90,0.1,0.059433118636069523,0.1368907459905401
cyclo,pca_residual,Tx2,0.9,0.10927105774073541,100,18,82,0.18,0.07502055450746208,0.21718426925543133
cyclo,pca_residual,Tx3,0.9,0.10927105774073541,100,12,88,0.12,0.0598050069769047,0.13688590737393924
cyclo,pca_residual,Tx4,0.9,0.10927105774073541,100,9,91,0.09,0.06102233311706299,0.1288793431184811
cyclo,pca_residual,Tx1,0.95,0.13522950985885343,100,6,94,0.06,0.059433118636069523,0.1368907459905401
cyclo,pca_residual,Tx2,0.95,0.13522950985885343,100,13,87,0.13,0.07502055450746208,0.21718426925543133
cyclo,pca_residual,Tx3,0.95,0.13522950985885343,100,6,94,0.06,0.0598050069769047,0.13688590737393924
cyclo,pca_residual,Tx4,0.95,0.13522950985885343,100,5,95,0.05,0.06102233311706299,0.1288793431184811
cyclo,pca_residual,Tx1,0.97,0.16739378251520456,100,3,97,0.03,0.059433118636069523,0.1368907459905401
cyclo,pca_residual,Tx2,0.97,0.16739378251520456,100,8,92,0.08,0.07502055450746208,0.21718426925543133
cyclo,pca_residual,Tx3,0.97,0.16739378251520456,100,4,96,0.04,0.0598050069769047,0.13688590737393924
cyclo,pca_residual,Tx4,0.97,0.16739378251520456,100,2,98,0.02,0.06102233311706299,0.1288793431184811
