pair,method,tx,threshold_quantile,threshold,known_files,false_rejects,known_accepts,false_reject_rate,score_mean,score_p95
iq:fft,relation_pca_residual,Tx3,0.97,0.9600496904627724,100,5,95,0.05,0.2203980873212391,0.8862716484281165
iq:fft,relation_pca_residual,Tx4,0.97,0.9600496904627724,100,2,98,0.02,0.1707820692020662,0.4242584716204544
iq:fft,relation_shrinkage_mahalanobis,Tx1,0.9,75.2717905798353,100,7,93,0.07,32.22038099797698,93.72502037516549
iq:fft,relation_shrinkage_mahalanobis,Tx2,0.9,75.2717905798353,100,13,87,0.13,80.74082139772979,188.12127486893093
iq:fft,relation_shrinkage_mahalanobis,Tx3,0.9,75.2717905798353,100,14,86,0.14,35.861208403903184,152.49667334666054
iq:fft,relation_shrinkage_mahalanobis,Tx4,0.9,75.2717905798353,100,6,94,0.06,24.29365932025636,81.38997372460318
iq:fft,relation_shrinkage_mahalanobis,Tx1,0.95,124.06520005254767,100,4,96,0.04,32.22038099797698,93.72502037516549
iq:fft,relation_shrinkage_mahalanobis,Tx2,0.95,124.06520005254767,100,9,91,0.09,80.74082139772979,188.12127486893093
iq:fft,relation_shrinkage_mahalanobis,Tx3,0.95,124.06520005254767,100,7,93,0.07,35.861208403903184,152.49667334666054
iq:fft,relation_shrinkage_mahalanobis,Tx4,0.95,124.06520005254767,100,2,98,0.02,24.29365932025636,81.38997372460318
iq:fft,relation_shrinkage_mahalanobis,Tx1,0.97,165.63451854687744,100,4,96,0.04,32.22038099797698,93.72502037516549
iq:fft,relation_shrinkage_mahalanobis,Tx2,0.97,165.63451854687744,100,7,93,0.07,80.74082139772979,188.12127486893093
iq:fft,relation_shrinkage_mahalanobis,Tx3,0.97,165.63451854687744,100,4,96,0.04,35.861208403903184,152.49667334666054
iq:fft,relation_shrinkage_mahalanobis,Tx4,0.97,165.63451854687744,100,1,99,0.01,24.29365932025636,81.38997372460318
iq:stft,relation_zdist,Tx1,0.9,1.8826568895077356,100,9,91,0.09,1.108137785571453,3.8141850782840474
iq:stft,relation_zdist,Tx2,0.9,1.8826568895077356,100,13,87,0.13,1.5063394621839863,5.178354693917859
iq:stft,relation_zdist,Tx3,0.9,1.8826568895077356,100,14,86,0.14,1.1245453542593398,3.296615711641924
iq:stft,relation_zdist,Tx4,0.9,1.8826568895077356,100,10,90,0.1,0.9089748993620493,2.63926138924654
iq:stft,relation_zdist,Tx1,0.95,3.213046393758646,100,7,93,0.07,1.108137785571453,3.8141850782840474
iq:stft,relation_zdist,Tx2,0.95,3.213046393758646,100,10,90,0.1,1.5063394621839863,5.178354693917859
iq:stft,relation_zdist,Tx3,0.95,3.213046393758646,100,7,93,0.07,1.1245453542593398,3.296615711641924
iq:stft,relation_zdist,Tx4,0.95,3.213046393758646,100,4,96,0.04,0.9089748993620493,2.63926138924654
iq:stft,relation_zdist,Tx1,0.97,4.179149211069135,100,4,96,0.04,1.108137785571453,3.8141850782840474
iq:stft,relation_zdist,Tx2,0.97,4.179149211069135,100,7,93,0.07,1.5063394621839863,5.178354693917859
iq:stft,relation_zdist,Tx3,0.97,4.179149211069135,100,4,96,0.04,1.1245453542593398,3.296615711641924
iq:stft,relation_zdist,Tx4,0.97,4.179149211069135,100,2,98,0.02,0.9089748993620493,2.63926138924654
iq:stft,relation_pca_residual,Tx1,0.9,0.47720453450188627,100,12,88,0.12,0.3225001467695986,1.2449975816812702
iq:stft,relation_pca_residual,Tx2,0.9,0.47720453450188627,100,14,86,0.14,0.604982721033762,2.4309490844240647
iq:stft,relation_pca_residual,Tx3,0.9,0.47720453450188627,100,12,88,0.12,0.3543675087631824,0.9530214155988972
iq:stft,relation_pca_residual,Tx4,0.9,0.47720453450188627,100,12,88,0.12,0.2957833730521373,0.6489342722786352
iq:stft,relation_pca_residual,Tx1,0.95,0.7754129958909272,100,6,94,0.06,0.3225001467695986,1.2449975816812702
iq:stft,relation_pca_residual,Tx2,0.95,0.7754129958909272,100,11,89,0.11,0.604982721033762,2.4309490844240647
