pair,method,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
fft:cepstral,relation_pca_residual,0.97,0.5590362103486111,0.5414114285714285,0.12444444444444444,0.9943181818181818,0.1,0.181723779854621,350,98,2,3150
fft:cepstral,relation_shrinkage_mahalanobis,0.9,57.28788408651024,0.5413742857142857,0.2152777777777778,0.987012987012987,0.19542857142857142,0.32625804912950157,684,91,9,2816
fft:cepstral,relation_shrinkage_mahalanobis,0.95,78.95982214714212,0.5413742857142857,0.15083333333333335,0.9889624724061811,0.128,0.22666329370098662,448,95,5,3052
fft:cepstral,relation_shrinkage_mahalanobis,0.97,95.91478057898046,0.5413742857142857,0.12416666666666666,0.9887323943661972,0.10028571428571428,0.1821011673151751,351,96,4,3149
fft:cyclo,relation_zdist,0.9,1.9193078112094843,0.5371171428571428,0.21027777777777779,0.9837997054491899,0.19085714285714286,0.31969370662838,668,89,11,2832
fft:cyclo,relation_zdist,0.95,3.282510351954744,0.5371171428571428,0.15583333333333332,0.9832285115303984,0.134,0.23585617299471964,469,92,8,3031
fft:cyclo,relation_zdist,0.97,4.391130629600956,0.5371171428571428,0.1322222222222222,0.9845360824742269,0.10914285714285714,0.19650205761316872,382,94,6,3118
fft:cyclo,relation_pca_residual,0.9,0.368662887948857,0.5833085714285714,0.26222222222222225,0.9773755656108597,0.24685714285714286,0.39416058394160586,864,80,20,2636
fft:cyclo,relation_pca_residual,0.95,0.49728293162403253,0.5833085714285714,0.20222222222222222,0.9860681114551083,0.182,0.3072841292812349,637,91,9,2863
fft:cyclo,relation_pca_residual,0.97,0.6339380067508343,0.5833085714285714,0.17222222222222222,0.9887218045112782,0.15028571428571427,0.2609126984126984,526,94,6,2974
fft:cyclo,relation_shrinkage_mahalanobis,0.9,55.26124647456877,0.5369342857142857,0.24027777777777778,0.9775280898876404,0.22371428571428573,0.36410137177400603,783,82,18,2717
fft:cyclo,relation_shrinkage_mahalanobis,0.95,76.17668407863455,0.5369342857142857,0.19194444444444445,0.983633387888707,0.1717142857142857,0.29238628071028944,601,90,10,2899
fft:cyclo,relation_shrinkage_mahalanobis,0.97,120.85638337739711,0.5369342857142857,0.1463888888888889,0.9841269841269841,0.124,0.22024866785079927,434,93,7,3066
fft:hos,relation_zdist,0.9,1.836151763283706,0.5121571428571429,0.1825,0.96964586846543,0.16428571428571428,0.28096750549719035,575,82,18,2925
fft:hos,relation_zdist,0.95,4.441791040094332,0.5121571428571429,0.11,0.9743589743589743,0.08685714285714285,0.15949632738719832,304,92,8,3196
fft:hos,relation_zdist,0.97,5.545217353352444,0.5121571428571429,0.0961111111111111,0.9730769230769231,0.07228571428571429,0.1345744680851064,253,93,7,3247
fft:hos,relation_pca_residual,0.9,0.3737749952386973,0.4834085714285714,0.2036111111111111,0.9675036927621861,0.18714285714285714,0.3136222169020828,655,78,22,2845
fft:hos,relation_pca_residual,0.95,0.5668441684724099,0.4834085714285714,0.155,0.9673469387755103,0.13542857142857143,0.237593984962406,474,84,16,3026
fft:hos,relation_pca_residual,0.97,0.7063659527299748,0.4834085714285714,0.135,0.9707317073170731,0.11371428571428571,0.20358056265984656,398,88,12,3102
fft:hos,relation_shrinkage_mahalanobis,0.9,63.192320871935934,0.5135314285714285,0.18722222222222223,0.9674267100977199,0.1697142857142857,0.2887700534759358,594,80,20,2906
fft:hos,relation_shrinkage_mahalanobis,0.95,113.43047406782114,0.5135314285714285,0.13083333333333333,0.9768637532133676,0.10857142857142857,0.19542298791463097,380,91,9,3120
fft:hos,relation_shrinkage_mahalanobis,0.97,140.7777790779237,0.5135314285714285,0.11777777777777777,0.9736842105263158,0.09514285714285714,0.17334721499219155,333,91,9,3167
fft:bispectrum,relation_zdist,0.9,2.221422358481048,0.54702,0.16694444444444445,0.9789674952198852,0.1462857142857143,0.25453641561024115,512,89,11,2988
fft:bispectrum,relation_zdist,0.95,2.9234226294208425,0.54702,0.11694444444444445,0.9819819819819819,0.09342857142857143,0.1706235324810853,327,94,6,3173
fft:bispectrum,relation_zdist,0.97,3.3218805778684115,0.54702,0.09972222222222223,0.9814126394052045,0.07542857142857143,0.1400902096046697,264,95,5,3236
fft:bispectrum,relation_pca_residual,0.9,0.47348429471699904,0.5622628571428572,0.23694444444444446,0.9845559845559846,0.21857142857142858,0.3577273790039748,765,88,12,2735
fft:bispectrum,relation_pca_residual,0.95,0.5808326614305768,0.5622628571428572,0.18333333333333332,0.9861111111111112,0.16228571428571428,0.2787046123650637,568,92,8,2932
fft:bispectrum,relation_pca_residual,0.97,0.7126835106939233,0.5622628571428572,0.1386111111111111,0.9830508474576272,0.116,0.2075134168157424,406,93,7,3094
fft:bispectrum,relation_shrinkage_mahalanobis,0.9,65.78878429000893,0.55426,0.19361111111111112,0.9791332263242376,0.1742857142857143,0.2959010429299054,610,87,13,2890
fft:bispectrum,relation_shrinkage_mahalanobis,0.95,80.36262711374735,0.55426,0.15055555555555555,0.9846491228070176,0.12828571428571428,0.22699696663296257,449,93,7,3051
fft:bispectrum,relation_shrinkage_mahalanobis,0.97,86.5372560679842,0.55426,0.13805555555555554,0.9853300733496333,0.11514285714285714,0.20619084164748017,403,94,6,3097
stft:cepstral,relation_zdist,0.9,1.9248469847916096,0.5318428571428572,0.16361111111111112,0.9784735812133072,0.14285714285714285,0.2493143854400399,500,89,11,3000
stft:cepstral,relation_zdist,0.95,2.752085774468812,0.5318428571428572,0.10222222222222223,0.971830985915493,0.07885714285714286,0.14587737843551796,276,92,8,3224
stft:cepstral,relation_zdist,0.97,3.1040679673093314,0.5318428571428572,0.08527777777777777,0.9769585253456221,0.060571428571428575,0.1140704869518429,212,95,5,3288
stft:cepstral,relation_pca_residual,0.9,0.41795935976776194,0.5184257142857143,0.21833333333333332,0.9803921568627451,0.2,0.33222591362126247,700,86,14,2800
stft:cepstral,relation_pca_residual,0.95,0.5407138911631737,0.5184257142857143,0.14722222222222223,0.9820627802690582,0.12514285714285714,0.22199695894576785,438,92,8,3062
stft:cepstral,relation_pca_residual,0.97,0.6235191023507749,0.5184257142857143,0.12416666666666666,0.9806094182825484,0.10114285714285715,0.1833721833721834,354,93,7,3146
