representation,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
fft,zdist,Tx3,0.95,2.820865411824624,0.52254,0.21,0.8421052631578947,0.064,0.11895910780669144,32,94,6,468
fft,zdist,Tx4,0.95,2.820865411824624,0.53402,0.23,0.88,0.088,0.16,44,94,6,456
fft,zdist,Tx5,0.95,2.820865411824624,0.53068,0.20833333333333334,0.8378378378378378,0.062,0.11545623836126631,31,94,6,469
fft,zdist,Tx6,0.95,2.820865411824624,0.55952,0.225,0.8723404255319149,0.082,0.14990859232175505,41,94,6,459
fft,zdist,Tx7,0.95,2.820865411824624,0.54798,0.21833333333333332,0.8604651162790697,0.074,0.13627992633517497,37,94,6,463
fft,zdist,Tx8,0.95,2.820865411824624,0.5735,0.24,0.8928571428571429,0.1,0.1798561151079137,50,94,6,450
fft,zdist,Tx2,0.97,3.2666685939120614,0.44786,0.18833333333333332,0.76,0.038,0.07238095238095238,19,94,6,481
fft,zdist,Tx3,0.97,3.2666685939120614,0.52254,0.18666666666666668,0.75,0.036,0.06870229007633587,18,94,6,482
fft,zdist,Tx4,0.97,3.2666685939120614,0.53402,0.20166666666666666,0.8181818181818182,0.054,0.10131332082551595,27,94,6,473
fft,zdist,Tx5,0.97,3.2666685939120614,0.53068,0.18,0.7,0.028,0.05384615384615385,14,94,6,486
fft,zdist,Tx6,0.97,3.2666685939120614,0.55952,0.20166666666666666,0.8181818181818182,0.054,0.10131332082551595,27,94,6,473
fft,zdist,Tx7,0.97,3.2666685939120614,0.54798,0.18833333333333332,0.76,0.038,0.07238095238095238,19,94,6,481
fft,zdist,Tx8,0.97,3.2666685939120614,0.5735,0.21166666666666667,0.8461538461538461,0.066,0.12244897959183676,33,94,6,467
fft,pca_residual,Tx2,0.9,0.017844971660956405,0.54094,0.31833333333333336,0.8473282442748091,0.222,0.3518225039619651,111,80,20,389
fft,pca_residual,Tx3,0.9,0.017844971660956405,0.55152,0.32,0.8484848484848485,0.224,0.35443037974683544,112,80,20,388
fft,pca_residual,Tx4,0.9,0.017844971660956405,0.61486,0.39,0.8850574712643678,0.308,0.456973293768546,154,80,20,346
fft,pca_residual,Tx5,0.9,0.017844971660956405,0.55716,0.34,0.8611111111111112,0.248,0.38509316770186336,124,80,20,376
fft,pca_residual,Tx6,0.9,0.017844971660956405,0.58132,0.36833333333333335,0.8757763975155279,0.282,0.426626323751891,141,80,20,359
fft,pca_residual,Tx7,0.9,0.017844971660956405,0.5589,0.33666666666666667,0.8591549295774648,0.244,0.38006230529595014,122,80,20,378
fft,pca_residual,Tx8,0.9,0.017844971660956405,0.65308,0.455,0.9061032863849765,0.386,0.5413744740532959,193,80,20,307
fft,pca_residual,Tx2,0.95,0.021495807480805658,0.54094,0.28833333333333333,0.8348623853211009,0.182,0.29885057471264365,91,82,18,409
fft,pca_residual,Tx3,0.95,0.021495807480805658,0.55152,0.2816666666666667,0.8285714285714286,0.174,0.28760330578512394,87,82,18,413
fft,pca_residual,Tx4,0.95,0.021495807480805658,0.61486,0.33166666666666667,0.8666666666666667,0.234,0.36850393700787404,117,82,18,383
fft,pca_residual,Tx5,0.95,0.021495807480805658,0.55716,0.2916666666666667,0.8378378378378378,0.186,0.30441898527004907,93,82,18,407
fft,pca_residual,Tx6,0.95,0.021495807480805658,0.58132,0.31333333333333335,0.8548387096774194,0.212,0.3397435897435897,106,82,18,394
fft,pca_residual,Tx7,0.95,0.021495807480805658,0.5589,0.27666666666666667,0.8235294117647058,0.168,0.27906976744186046,84,82,18,416
fft,pca_residual,Tx8,0.95,0.021495807480805658,0.65308,0.37333333333333335,0.8875,0.284,0.4303030303030302,142,82,18,358
fft,pca_residual,Tx2,0.97,0.028977173837394843,0.54094,0.25666666666666665,0.9090909090909091,0.12,0.21201413427561838,60,94,6,440
fft,pca_residual,Tx3,0.97,0.028977173837394843,0.55152,0.27,0.918918918918919,0.136,0.2369337979094077,68,94,6,432
fft,pca_residual,Tx4,0.97,0.028977173837394843,0.61486,0.26666666666666666,0.9166666666666666,0.132,0.23076923076923078,66,94,6,434
fft,pca_residual,Tx5,0.97,0.028977173837394843,0.55716,0.25,0.9032258064516129,0.112,0.199288256227758,56,94,6,444
fft,pca_residual,Tx6,0.97,0.028977173837394843,0.58132,0.275,0.922077922077922,0.142,0.24610051993067594,71,94,6,429
fft,pca_residual,Tx7,0.97,0.028977173837394843,0.5589,0.25666666666666665,0.9090909090909091,0.12,0.21201413427561838,60,94,6,440
fft,pca_residual,Tx8,0.97,0.028977173837394843,0.65308,0.31166666666666665,0.9393939393939394,0.186,0.3105175292153589,93,94,6,407
fft,shrinkage_mahalanobis,Tx2,0.9,49.10370321974699,0.5266,0.285,0.8317757009345794,0.178,0.2932454695222405,89,82,18,411
fft,shrinkage_mahalanobis,Tx3,0.9,49.10370321974699,0.53722,0.2916666666666667,0.8378378378378378,0.186,0.30441898527004907,93,82,18,407
fft,shrinkage_mahalanobis,Tx4,0.9,49.10370321974699,0.59516,0.365,0.8838709677419355,0.274,0.418320610687023,137,82,18,363
fft,shrinkage_mahalanobis,Tx5,0.9,49.10370321974699,0.54316,0.32666666666666666,0.8636363636363636,0.228,0.36075949367088606,114,82,18,386
fft,shrinkage_mahalanobis,Tx6,0.9,49.10370321974699,0.56888,0.33666666666666667,0.8695652173913043,0.24,0.37617554858934166,120,82,18,380
fft,shrinkage_mahalanobis,Tx7,0.9,49.10370321974699,0.55906,0.28833333333333333,0.8348623853211009,0.182,0.29885057471264365,91,82,18,409
